序号,区市县,街道,采样点名称,采样点地址,开放时间,联系电话
19,沙河口区,南沙街道,南沙街道重点人群临时核酸采样点,大连市沙河口区红色港湾广场西侧南沙街127号,周二、周三、周五、周日8：00-11：30，13：00-17：00,62278830
20,沙河口区,马栏街道,马栏街道重点人群临时核酸采样点,大连市沙河口区西山街172-3号(恒苑社区门前),周二、周三、周五、周日8：00-11：30，13：00-17：00,84501411
21,沙河口区,黑石礁街道,黑石礁街道重点人群临时核酸采样点,大连市沙河口区辰熙广场停车场南出口小亭,周二、周三、周五、周日8：00-11：30，13：00-17：00,84673925
22,沙河口区,春柳街道,春柳街道重点人群临时核酸采样点,大连市沙河口区春柳公园东侧公建,周二、周三、周五、周日8：00-11：30，13：00-17：00,62629738
23,沙河口区,星海湾街道,星海湾街道重点人群临时核酸采样点,大连市沙河口区星河一街与高尔基路交叉口东南150米,周二、周三、周五、周日8：00-11：30，13：00-17：00,64369547
24,甘井子区,营城子街道,营城子地区医院重点人群核酸检测采样点,大连市甘井子区营城子街道郭家沟村,周一至周日8：30-11：00，13：00-16：00,86691221
25,甘井子区,甘井子街道,甘井子街道重点人群采样点,大连市甘井子区甘井子街道长山街4号（站前社区门前的志愿服务站）,周一至周日8：30-11：00，13：00-16：00,86688161
26,甘井子区,革镇堡街道,革镇堡地区医院重点人群采样点,大连市甘井子区革镇堡街道金牛广场1号,周一至周日8：30-11：00，13：00-16：00,86450525
27,甘井子区,红旗街道,红旗街道重点人群采样点,大连市甘井子区红旗街道盛达花卉停车场,周一至周日8：30-11：00，13：00-16：00,84236148
28,甘井子区,机场街道,机场街道社区卫生服务中心重点人群采样点,大连市甘井子区机场街道迎客路8号（锅炉房旁）,周一至周日8：30-11：00，13：00-16：00,86858277
29,甘井子区,椒金山街道,椒金山街道重点人群核酸点位,大连市甘井子区椒金山街道椒房街552号（原椒房小学）,周一至周日8：30-11：00，13：00-16：00,66880331
30,甘井子区,南关岭街道,民悦广场,大连市甘井子区南关岭街道南关岭路441号,周一至周日8：30-11：00，13：00-16：00,39822159
31,甘井子区,泡崖街道,泡崖街道重点人群核酸采样点,大连市甘井子区泡崖街道玉潭街99-2公建（24城党群服务中心）,周一至周日8：30-11：00，13：00-16：00,39010710
32,甘井子区,泉水街道,重点人群采样点,大连市甘井子泉水街道K2区龙畔卫生服务中心,周一至周日8：30-11：00，13：00-16：00,86764379
33,甘井子区,辛寨子街道,辛寨子街道重点人群核酸采样点,大连市甘井子区辛寨子街道虹城路517号辛寨子社区卫生服务中心,周一至周日8：30-11：00，13：00-16：00,62670296
34,甘井子区,辛寨子街道,辛寨子街道重点人群核酸采样点,大连市甘井子区乐都汇购物中心东侧停车场,周一至周日8：30-11：00，13：00-16：00,82760303
35,甘井子区,中华路街道,中华路街道重点人群采样点,大连市甘井子区中华路街道中华西路108号,周一至周日8：30-11：00，13：00-16：00,86513976
36,甘井子区,周水子街道,东纬路卫生服务中心采样点,大连市甘井子区周水子街道东纬路卫生服务中心,周一至周日8：30-11：00，13：00-16：00,86600789
37,甘井子区,大连湾街道,大房身社区老年活动中心采样点,大连市甘井子区大连湾街道大房身社区党员之家,周一至周日8：30-11：00，13：00-16：00,87121555-84 06
38,旅顺口区,得胜街道,得胜街道文明实践广场,大连市旅顺口区得胜街道旁小广场,周一至周日8:30-11:30,62685843
39,旅顺口区,水师营街道,西沟一组舞场,大连市旅顺口区西沟一组舞场,周一至周日8:10-11:10,86233371
40,旅顺口区,铁山街道,铁山街道凤河社区采样点3,大连市旅顺口区铁山街道凤河社区服务中心,周一至周日8:15-11:15,86214568
41,旅顺口区,登峰街道,综合活动中心,大连市旅顺口区五一路浪琴湾南侧,周一至周日13:30-16:30,86369656
42,旅顺口区,双岛湾街道,张家村采样点1,大连市旅顺口区滨海公路与双盛路交叉路口东北侧，街道文化站,周一至周日8:30-11:30,86240153
43,旅顺口区,龙头街道,龙头街道办事处采样点 ,大连市旅顺口区龙头街道办事处畅达路202号,周一至周日8:30-11:30,86280149
44,旅顺口区,三涧堡街道,韩家村委会对面（国合公建),大连市旅顺口区韩家村委会对面（国合公建),周一至周日15:00-16:00,86260086
45,旅顺口区,江西街道,滨港社区,大连市旅顺口区顺达路2号（公共法律服务站）,周一至周日13:00-16:00,39355768
46,旅顺口区,长城街道,长城街道采样点,大连市旅顺口区长城街道办事处东侧,周一至周日8:30-11:30,86270010
47,普兰店区,安波街道,安波街道重点人群采样点,大连市普兰店安波医院院内,周二、周四、周五、周日 8：00-10：00,15904945049
48,普兰店区,大刘家街道,大刘家街道重点人群采样点,大连市普兰店区大刘家街道卫生院门口,周二、周四、周五、周日 7：30-9：30,13940978829
49,普兰店区,皮口街道,皮口街道重点人群采样点,大连市普兰店区皮口街道普临广场西侧,周二、周四、周五、周日 8：00-10：00,15941136397
50,普兰店区,双塔街道,双塔街道重点人群采样点,大连市普兰店区双塔街道50号双塔街道卫生院院外,周二、周四、周五、周日 7：30-9：30,18525361195
51,普兰店区,太平街道,太平街道重点人群采样点,大连市普兰店区太平街道海新社区海湾新城6期118号公建(万达广场2号门篮球场斜对面),周二、周四、周五、周日 13：00-15：00,18940894086
52,普兰店区,星台街道,星台街道重点人群采样点,大连市普兰店区星台街道星台供销社后院,周二、周四、周五、周日 8：00-10：00,18840823325
53,普兰店区,杨树房街道,杨树房街道重点人群采样点,大连市普兰店区杨树房街道杨树房医院门口,周二、周四、周五、周日 7：30-9：30,155 4265 3536
54,普兰店区,乐甲街道,乐甲街道重点人群采样点,大连市普兰店区乐甲街道卫生院门口,周二、周四、周五、周日  8：00-10：00,15842481872
55,普兰店区,唐家房街道,唐家房街道重点人群采样点,大连市普兰店区唐家房街道中心卫生院西侧空地,周二、周四、周五、周日  8：00-10：00,83470680
56,普兰店区,同益街道,同益街道重点人群采样点,大连市普兰店区同益街道卫生院东侧发热门诊,周二、周四、周五、周日 8：00-10：00,17640407373
57,普兰店区,铁西街道,铁西街道重点人群采样点1,大连市普兰店区农场社区铁西街道疫苗接种点外围,周二、周四、周五、周日  8：30-10：30,15704111618
58,普兰店区,铁西街道,铁西街道重点人群采样点2,大连市普兰店区铁西街道福寿街53号,周二、周四、周五、周日  8：30-10：30,15704111618
59,普兰店区,四平街道,四平街道重点人群采样点,大连市普兰店区四平卫生院院外西侧空地,周二、周四、周五、周日 8：00-10：00,13795185008
60,普兰店区,沙包街道,沙包街道重点人群采样点,大连市普兰店区沙包街道卫生院门前,周二、周四、周五、周日  8：00-10：00,13840870121
61,普兰店区,墨盘街道,墨盘街道重点人群采样点,大连市普兰店区墨盘街道王山头集市院内,周二、周四、周五、周日 8：00-10：00,13795142069
62,普兰店区,莲山街道,莲山街道重点人群采样点,大连市普兰店区莲山街道基督教堂东空地,周二、周四、周五、周日  7：30-9：30,13804954938
63,普兰店区,丰荣街道,丰荣街道重点人群采样点,大连市普兰店区丰荣卫生院门前,周二、周四、周五、周日 8：00-10：00,13504118066
64,普兰店区,大谭街道,大谭街道重点人群采样点,大连市普兰店区大谭政府广场,周二、周四、周五、周日 8：30-10：30,13236917775
65,普兰店区,城子坦街道,城子坦街道重点人群采样点,大连市普兰店区城子坦卫生院广场,周二、周四、周五、周日  7：00-9：00,13238019528
66,瓦房店市,铁东街道,铁东街道重点人群采样点,大连市瓦房店铁东街道站前派出所东侧,周一、三、五、七日，隔周二、四、六日8：00-11：00,85681800
67,瓦房店市,岭东街道,岭东街道重点人群采样点,大连市瓦房店岭东街道东长春路3段高发上东一号,周一、三、五、七日，隔周二、四、六日8：00-11：00,39121607
68,瓦房店市,岗店街道,岗店街道重点人群采样点,大连市瓦房店岗店街道张山嘴社区门前,周一、三、五、七日，隔周二、四、六日8：00-11：00,85687036
69,瓦房店市,文兰街道,文兰街道重点人群采样点,大连市瓦房店西长春路西段大连荣联公司后院广场,周一、三、五、七日，隔周二、四、六日8：00-11：00,85680987
70,瓦房店市,新华街道,新华街道重点人群采样点,大连市瓦房店新华街道新华人家A区万众物业,周一、三、五、七日，隔周二、四、六日8：00-11：00,62187283
71,瓦房店市,祝华街道,祝华街道重点人群采样点,大连市瓦房店祝华街道祝华村委会,周一、三、五、七日，隔周二、四、六日8：00-11：00,13940869157
72,瓦房店市,共济街道,共济街道重点人群采样点,大连市瓦房店共济街道中心社区门前广场,周一、三、五、七日，隔周二、四、六日8：00-11：00,85697927；85689003
73,瓦房店市,赵屯乡,赵屯乡重点人群采样点,大连市瓦房店赵屯卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,85331083
74,瓦房店市,松树镇,松树镇重点人群采样点,大连市瓦房店松树镇中心卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,85302103
75,瓦房店市,瓦窝镇,瓦窝镇重点人群采样点,大连市瓦房店瓦窝卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,83367900
76,瓦房店市,元台镇,元台镇重点人群采样点,大连市瓦房店元台镇中心卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,83353162
77,瓦房店市,李官镇,李官镇重点人群采样点,大连市瓦房店李官中心卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,85191765
78,瓦房店市,许屯镇,许屯镇重点人群采样点,大连市瓦房店许屯镇卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,15040564114
79,瓦房店市,西杨乡,西杨乡重点人群采样点,大连市瓦房店西杨卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,85150020
80,瓦房店市,杨家乡,杨家乡重点人群采样点,大连市瓦房店杨家卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,85381701
81,瓦房店市,仙浴湾镇,仙浴湾镇重点人群采样点,大连市瓦房店仙浴湾卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,85128933
82,瓦房店市,九龙街道,九龙街道重点人群采样点,大连市瓦房店九龙卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,85558120
83,瓦房店市,土城乡,土城乡重点人群采样点,大连市瓦房店土城卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,85180070
84,瓦房店市,永宁镇,永宁镇重点人群采样点,大连市瓦房店永宁卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,85170045
85,瓦房店市,阎店乡,阎店乡重点人群采样点,大连市瓦房店阎店地区中心卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,85162888
86,瓦房店市,三台满族乡,三台满族乡重点人群采样点,大连市瓦房店三台卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,13591813123
87,瓦房店市,红沿河镇,红沿河镇重点人群采样点,大连市瓦房店红沿河镇卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,13898616043
88,瓦房店市,老虎屯镇,老虎屯镇重点人群采样点,大连市瓦房店老虎屯镇中心卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,13840933587
89,瓦房店市,复州城镇,复州城镇重点人群采样点,大连市瓦房店复州城卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,13332226086
90,瓦房店市,驼山乡,驼山乡重点人群采样点,大连市瓦房店驼山乡卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,85141864
91,瓦房店市,太阳街道,太阳街道重点人群采样点,大连市瓦房店太阳街道办事处卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,85365917
92,瓦房店市,万家岭镇,万家岭镇重点人群采样点,大连市瓦房店万家岭镇卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,85340021
93,瓦房店市,得利寺镇,得利寺镇重点人群采样点,大连市瓦房店得利寺镇卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,85320016
94,瓦房店市,谢屯镇,谢屯镇重点人群采样点,大连市瓦房店谢屯中心卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,85221888
95,瓦房店市,泡崖乡,泡崖乡重点人群采样点,大连市瓦房店泡崖卫生院门口,周一、三、五、七日，隔周二、四、六日8：00-11：00,85240120
96,庄河市,大营镇,大营镇中心卫生院采样点,大连市庄河市大营镇大营村大营屯117号,周二、周三、周五、周日7：30-10：00,15640908779
97,庄河市,王家镇,王家镇卫生院采样点,大连市庄河市王家镇东滩村,周二、周三、周五、周日7：30-10：00,18304071645
98,庄河市,桂云花乡,桂云花满族乡卫生院采样点,大连市庄河市桂云花满族乡桂云花村,周二、周三、周五、周日7：30-10：00,15940893156
99,庄河市,城山镇,城山镇卫生院采样点,大连市庄河市城山镇城山村恒丰屯,周二、周三、周五、周日7：30-10：00,13074119731
100,庄河市,兰店乡,兰店乡卫生院采样点,大连市庄河市兰店乡磨石房村,周二、周三、周五、周日7：30-10：00,15524775869
101,庄河市,蓉花山镇,蓉花山政府人才公寓采样点,大连市庄河市蓉花山镇蓉花村韩屯,周二、周三、周五、周日7：30-10：00,13504256624
102,庄河市,青堆镇,庄河市第二人民医院采样点,大连市庄河市青堆镇青海路634号,周二、周三、周五、周日7：30-10：00,13322218685
103,庄河市,荷花山镇, 荷花山镇卫生院采样点,大连市庄河市荷花山镇芙蓉村姜屯委104号,周二、周三、周五、周日7：30-10：00,15840980523
104,庄河市,鞍子山乡,鞍子山乡党建广场采样点,大连市庄河市鞍子山乡鞍子山村丰利大街,周二、周三、周五、周日7：30-10：00,13998407767
105,庄河市,光明山镇,光明山高速口采样点,大连市庄河市光明山高速口,周二、周三、周五、周日7：30-10：00,17614262087
106,庄河市,黑岛镇,黑岛镇中心卫生院采样点,大连市庄河市黑岛镇山南头村,周二、周三、周五、周日7：30-10：00,13591706483
107,庄河市,步云山乡,步云山乡卫生院采样点,大连市庄河市步云山乡谦泰村,周二、周三、周五、周日7：30-10：00,13464925361
108,庄河市,徐岭镇,徐岭镇卫生院采样点,大连市庄河市徐岭镇杨树房村,周二、周三、周五、周日7：30-10：00,18604080855
109,庄河市,石城乡,石城乡中心公园采样点,大连市庄河市石城乡光明村,周二、周三、周五、周日7：30-10：00,15904118308
110,庄河市,长岭镇,长岭镇中心卫生院采样点 ,大连市庄河市长岭镇双盛村河沿屯,周二、周三、周五、周日7：30-10：00,13591141120
111,庄河市,栗子房镇,栗子房镇中心卫生院采样点,大连市庄河市栗子房镇山林坨村,周二、周三、周五、周日7：30-10：00,15840638920
112,庄河市,大郑镇,大郑镇中心卫生院采样点,大连市庄河市大郑镇大郑委,周二、周三、周五、周日7：30-10：00,13284115152
113,庄河市,塔岭镇,省道S210鞍山交界处采样点,大连市庄河市塔岭镇隈子村梨树屯,周二、周三、周五、周日7：30-10：00,15998653118
114,庄河市,明阳街道,明阳地区中心卫生院采样点,大连市庄河市明阳街道坎子村212号,周二、周三、周五、周日7：30-10：00,13898664166
115,庄河市,吴炉镇,吴炉镇卫生院采样点,大连市庄河市吴炉镇吴炉村,周二、周三、周五、周日7：30-10：00,13609852808
116,庄河市,太平岭乡,太平岭满族乡卫生院采样点,大连市庄河市太平岭卫生院南文化馆,周二、周三、周五、周日7：30-10：00,15904965679
117,庄河市,仙人洞镇,仙人洞镇政府西侧广场采样点,大连市庄河市仙人洞镇政府西侧广场,周二、周三、周五、周日7：30-10：00,0411-89220987
118,庄河市,昌盛街道,昌盛卫生院重点人群核酸采样点,大连市庄河市昌盛街道高屯村,周二、周三、周五、周日7：30-10：00,15509885987
119,庄河市,昌盛街道,明润府邸北二门重点人群核酸采样点,大连市庄河市市昌盛街道建设南四街明润府邸公交站,周二、周三、周五、周日7：30-10：00；14：00-16：00,13841123741
120,庄河市,兴达街道,兴达街道河西社区小广场采样点 ,大连市庄河市兴达街道河西社区小广场（养鱼池附近）,周二、周三、周五、周日7：30-10：00；14：00-16：00,15904246669
121,庄河市,新华街道,新华街道卫生服务中心门前采样点,大连市庄河市新华街道一品桃源小区北门,周二、周三、周五、周日7：30-10：00；14：00-16：00,15998605525
122,庄河市,新华街道,都市人家5号楼北面采样点,大连市庄河市新华街道花好月圆胡同内,周二、周三、周五、周日7：30-10：00；14：00-16：00,15299444666
123,庄河市,城关街道,景泰中央公园采样点,大连市庄河市城关街道景泰中央公园,周二、周三、周五、周日7：30-10：00；14：00-16：00,17531385538
124,庄河市,城关街道,红崖社区采样点,大连市庄河市城关街道红崖社区,周二、周三、周五、周日7：30-10：00；14：00-16：00,13009448680
125,长海县,大长山岛镇,小泡子村委会采样点,大连市长海县长海东路与泡南街交叉路口往东约70米,周一至周日13:30-15:30,13394112588
126,长海县,小长山岛镇,长海县小长山中心卫生院（非发热门诊和医疗机构内）,大连市长海县小长山岛镇蛎荞线,周一、周三、周五、周日：8:00-9:30,13842688878
127,长海县,广鹿岛镇,广鹿中心卫生院东门外采样点,大连市长海县广鹿岛镇柳条村新村后屯南大线,周一至周日13:30-15:30,89756026
128,长海县,獐子岛镇,獐子岛客运站,大连市长海县獐子岛镇沙包社区大板江屯羊角沟,流动采样点,18141181376
129,长海县,獐子岛镇,獐子岛影剧院,大连市长海县獐子岛镇沙包子村獐子岛镇政府旁,周一至周日14:00-15:30,13079883135
130,长海县,海洋岛镇,老陆军医院采样点,大连市长海县海洋岛镇老陆军医院（盐场村委会斜对面）,周一至周日13:30-15:30,15940992925
131,长海县,海洋岛镇,海洋红石码头采样点,大连市长海县海洋岛镇红石码头,流动采样点,15941131625
132,金普新区,先进街道,先进街道重点人群核酸采样点,大连市金州区先进街道渤海街201号小广场,周一、周四 13：00-16：00,87079777、86437777
133,金普新区,站前街道,站前街道联胜社区火车站采样点,大连市金州区火车站站前广场西侧,周一、周四 8：00-11:30 13:00-16：00,87079777、86437777
134,金普新区,湾里街道,湾里街道东城天下广场采样点,大连市经济技术开发区湾里街道东城天下广场（澳东世纪商场西侧）,周一、周四 13:00-16:00,84638017
135,金普新区,光中街道,光中街道红旗社区连大防疫办公室采样点,大连市金州区光中街道兴隆街7-1共建（刘佳英语对面）,周一、周四 8:30—11:30 13:00—15:30,18742074261
136,金普新区,光中街道,光中街道市民文化活动中心采样点,大连市金州区市民文化活动中心后门1楼,周一、周四 8:30—11:30 13:00—15:30,18742074261
137,金普新区,马桥子街道,马桥子街道五彩城广场采样点,大连市金普新区马桥子街道五彩城社区五彩城广场,周一、周四 8：00-11：00  13：00-16：00,87546006
138,金普新区,金石滩街道,金石滩实验学校门口检测点,大连市经济技术开发区金石滩街道金石滩实验学校门口,周一、周四 8：30-11:30,87214517
139,金普新区,董家沟街道,董家沟街道老年活动中心检测点,大连市经济技术开发区董家沟街道老年活动中心,周一、周四 13：00-15：30,87214517
140,高新区,凌水街道,青春公社卫生服务站采样点,大连市高新区静恬街46号,周一至周日8：00-11：00； 13：00-16：30,39677777
141,高新区,七贤岭街道,七贤岭社区卫生服务中心采样点,大连市高新区高能街27号,周一至周日8：00-11：00； 13：00-16：30,39677777
142,高新区,龙王塘街道,龙王塘街道卫生院采样点,大连市高新区龙王塘街道星玉兰街85号,周一至周日8：00-11：00； 13：00-16：30,86294043
143,高新区,凌水街道,凌水地区医院采样点,大连市高新区凌水路176号,周一至周日8：00-11：00； 13：00-16：30,84740126
144,高新区,凌水街道,小平岛社区卫生服务中心采样点,大连市高新区邻海街204号,周一至周日8：00-11：00； 13：00-16：30,65975079
145,长兴岛,长兴岛街道,长兴医院采样点,大连市长兴岛经济技术开发区长兴岛街道三堂村长兴医院,周一至周五8:00-11:00；12:30-15:00；周六、周日8:00-11:00,85282536
146,长兴岛,交流岛街道,交流岛卫生院采样点,大连市长兴岛经济技术开发区交流岛街道马路村交流岛卫生院,周一至周五8:00-11:00；12:30-14:00；周六、周日8:00-11:00,85230026
