序号,区市县,街道,采样点名称,采样点地址,开放时间,联系电话
46,甘井子区,辛寨子街道,辛寨子社区卫生服务中心,大连市甘井子区辛寨子街道虹城路517号辛寨子社区卫生服务中心,周一至周日8：30-11：00，13：00-16：00,62670296
47,甘井子区,辛寨子街道,第五郡社区卫生服务站,大连市甘井子区辛寨子街道虹韵路168号第五郡社区卫生服务站,周一至周日8：30-11：00，13：00-16：00,82760303
48,甘井子区,营城子街道,秀山丽水社区卫生服务站,大连市甘井子区营城子街道营泰街182A秀山丽水社区卫生服务站 ,周一至周六8:00-11:00，12:00-16:00 周日13:00—16:00,68836659
49,甘井子区,营城子街道,营城子社区卫生服务中心,大连市甘井子区营城子街道郭家沟村 营城子地区医院,周一至周日8：30-11：00，13：00-15：40,86691221
50,甘井子区,营城子街道,营城子三寰物流院门前采样点,大连市甘井子区营城子街道营城子东路516号,周一至周日8：30-12：00，13：00-17：00,87923651
51,甘井子区,营城子街道,营城子高速路口采样点,大连市甘井子区营城子街道前牧村,24小时,87923651
52,甘井子区,机场街道,机场街道社区卫生服务中心,大连市甘井子区机场街道迎客路8号（锅炉房旁）,周一至周日8：30-11：00，13：00-16：00,86858277
53,甘井子区,红旗街道,红旗社区卫生服务中心,大连市甘井子区吉祥街57号后身小广场,周一至周五8：30-11：00，13：00-16：00,84249667
54,甘井子区,红旗街道,红旗西路社区卫生服务中心,大连甘井子红旗街道柳树村柳林园一号溪之谷社区卫生服务站,周一、周三13：00-16：00,84668466
55,甘井子区,甘井子街道,山中社区卫生服务中心,大连市甘井子区甘北路14号,周一到周五8:00－11:30  13:00－16:00,86672080
56,甘井子区,革镇堡街道,革镇堡社区卫生服务中心,大连市甘井子区革镇堡街道金牛广场1号,周一至周日7：30-11：00，13：00-15：30,86450525
57,甘井子区,大连湾街道,苏家村采样点,大连市甘井子区大连湾街道苏家村大连农商银行前,周一至周日7:30-18:30,87121555
58,甘井子区,大连湾街道,大连湾福佳新城社区卫生服务站,大连市甘井子区居家东园24号,周一至周五8：30-11：00，13：00-15：00,39627256
59,甘井子区,大连湾街道,大连辽渔医院,大连市甘井子区大连湾街188号,24小时,87125213
60,甘井子区,南关岭街道,井西社区卫生服务站,大连市甘井子区南关岭街道南岭新城三期G7-3,周一至周日8：30-11：30，13：00-17：00,39822159
61,甘井子区,南关岭街道,大连北站北广场采样点,大连市甘井子区北站地下通道北出口,周一至周日8：30-11：30，13：00-17：00,39822159
62,甘井子区,泉水街道,泉水公租房社区卫生服务站,大连市甘井子区泉水P3区44号,"周一至周日8：00-11:00,13:00-17:00",13804969609
63,甘井子区,泉水街道,泉水社区卫生服务中心,大连市甘井子区泉水B2区22号楼,"周一至周日 8:30-12:00 ,13:00-18:30  ",82110880
64,甘井子区,椒金山街道,金源社区核酸采样点,大连市甘井子区金荣路2号公建,周一至周日8:00-11:30，13:00-16:00,62941599
65,甘井子区,泉水街道,泉水经适房社区卫生服务站,大连市甘井子区泉水N2区10-1公建,周一至周日8:00-12:00，13:00-18:30,13019438401
66,甘井子区,泉水街道,泉水龙畔金泉社区卫生服务中心,大连市甘井子区泉水K2区4号楼,周一至周日8：00-12：00，13：00-18：30,86764379
67,甘井子区,泡崖街道,泡南社区卫生服务中心,大连市甘井子区泡崖大街14号,周一至周五8：30-11：00 13：00-16：00,83631360-8119
68,甘井子区,泡崖街道,泡北社区卫生服务中心,大连市甘井子区玉浓街28号泡崖北区社区卫生服务中心,周一至周日8：30-11：00 12：00-16：00,86492968
69,甘井子区,周水子街道,周水子社区卫生服务中心,大连市甘井子区香周路34号周水子社区卫生服务中心,周一至周日8：30-11：00 13：00-16：00,86641967
70,甘井子区,中华路街道,中华路华东社区卫生服务中心,大连市甘井子区山东路207号,周一至周日9：00-11：00，13：00-16：00,86508159
71,甘井子区,中华路街道,中华路社区卫生服务中心,大连市甘井子区中华路街道七绣路32号康乐园广场,周一至周日9：00-11：00，13：00-16：00,62671139
72,甘井子区,中华路街道,中华路华南社区卫生服务中心,大连市甘井子区天洋路108号,周一至周日9：00-11：00，13：00-16：00,86507230
73,甘井子区,中华路街道,兴华千山路社区卫生服务中心,大连市甘井子区兴华路67号,周一至周日9：00-11：00，13：00-16：00,86600120
74,甘井子区,中华路街道,兴华金南路社区卫生服务中心,大连市甘井子区华东路商城花园10-1号,周一至周日9：00-11：00，13：00-16：00,81712590
75,甘井子区,中华路街道,兴华山东路社区卫生服务中心,大连市甘井子区华中街29号,周一至周日9：00-11：00，13：00-16：00,86595287
76,甘井子区,南关岭街道,大连北站（晶泰医学）采集点,大连市甘井子区北站南广场出租车上车点左侧,周一至周日8:30-17:00,18501372482
77,甘井子区,机场街道,机场（晶泰医学）采集点,大连市甘井子区周水子机场国内到达7号门对面,周一至周日8:00-20:00,18501372482
78,甘井子区,大连湾街道,铁成物流（晶泰医学）采集点,大连市甘井子区振兴路3号铁成物流市场北门警务室,周一至周日8：00-17:00,18501372482
79,甘井子区,中华路街道,升运物流（晶泰医学）采集点,大连市甘井子区华北路427-5号升运物流园,周一至周日8：00-17:01,18501372482
80,甘井子区,泉水街道,大连谱尼医学核酸采样点（后盐高速口一组）,大连市甘井子区后盐高速口,周一至周日00:00-24:00,0411-87923651
81,甘井子区,南关岭街道,大连谱尼医学核酸采样点（城地辉货运市场）,大连市甘井子区西北路867号城地辉货运市场,"周一至周日08:30-12:00,13:00-19:00",0411-87923651
82,甘井子区,中华路街道,大连谱尼医学核酸采样点（大连超通货运市场）,大连市甘井子区中华路中沟1号,"周一至周日08:30-12:00,13:00-17:00",0411-87923651
83,甘井子区,泉水街道,大连谱尼医学核酸采样点（后盐高速口二组）,大连市甘井子区后盐高速口,周一至周日00:00-24:00,0411-87923651
84,甘井子区,大连湾街道,大连谱尼医学核酸采样点（大连湾高速口）,大连市甘井子区大连湾高速口,周一至周日00:00-24:00,0411-87923651
85,甘井子区,南关岭街道,大连谱尼医学核酸采样点（周水子高速口）,大连市甘井子区周水子高速口,周一至周日00:00-24:00,0411-87923651
86,甘井子区,泉水街道,大连谱尼医学核酸采样点（后盐高速口三组）,大连市甘井子区后盐高速口,"周一至周日08:30-12:00,13:00-18:00",0411-87923651
87,旅顺口区,登峰街道,旅顺口区人民医院,大连市旅顺口区黄河路北一巷29号,周一至周日8：00-17：00(预约检测）,86621174
88,旅顺口区,江西街道,旅顺口区中医医院,大连市旅顺口区经济开发区顺康街109号,周一至周六8：00-15：30(预约检测）,39356303
89,旅顺口区,龙头街道,龙头街道卫生院,大连市旅顺口区中路140号, 周二、三、五 上午8:30-11:00,18941139166
90,旅顺口区,双岛街道,双岛街道卫生院,大连市旅顺口区双胜路247号, 周二、四、五 上午8:30-11:30,15542669187
91,旅顺口区,三涧堡街道,三涧堡中心卫生院,大连市旅顺口区金武路2号, 周一、二、五 上午8:30-11:00,18641185477
92,旅顺口区,长城街道,长城街道卫生院,大连市旅顺口区晨曦路7号, 周一、三、五 上午10:00-11:00,15668665567
93,旅顺口区,水师营街道,水师营社区卫生服务站,大连市旅顺口区营顺路712号,周二、三、五 上午8:30-11:00,0411-86174539
94,旅顺口区,铁山街道,铁山中心卫生院,大连市旅顺口区盐北路223号,周一、二、五 上午8:00-11:00,13700115580
95,旅顺口区,江西街道,江西街道卫生院,大连市旅顺口区江西路59号,周一、三、五 上午8:30-11:00,18642858693
96,旅顺口区,登峰街道,旅顺城区社区卫生服务中心,大连市旅顺口区孙家街191号,周二、三、五 上午8:30-11:00,13942003177
97,普兰店区,太平街道,大连市普兰店区中心医院对外核酸检测服务采样点,大连市普兰店区中心医院发热门诊外（四号楼外),周一至周日 07：30-11：00 13：00-20：00,13591398552
98,普兰店区,丰荣街道,大连普兰店老年病医院对外核酸检测服务采样点,大连市普兰店老年病医院院外（基督教堂旁）,周一至周日 07：30-13：30,15141150561
99,普兰店区,丰荣街道,大连市普兰店区中医医院对外核酸检测服务采样点,大连市普兰店区中医医院院外（临中心路侧原职工食堂处）,周一至周日 07：30-10：30,13478960835
100,普兰店区,太平街道,大连普兰店王连文中医医院对外核酸检测服务采样点,大连市普兰店王连文中医医院院内,周一至周日 08：00-11：00,13478570663
101,普兰店区,皮口街道,大连市普兰店区第二人民医院对外核酸检测服务采样点,大连市普兰店区第二人民医院院内,周一至周五 07：30-10：00,13795117621
102,普兰店区,皮口街道,大连海天华琳皮口医院有限公司对外核酸检测服务采样点,大连市普兰店区皮口街道新海街7-1-105、415、772,周一至周日 07：30-11：00,13050536612
103,普兰店区,城子坦街道,大连市普兰店区第三人民医院对外核酸检测服务采样点,大连市普兰店区第三人民医院院内,周一至周五 08：00-10：00,13234118682
104,普兰店区,安波街道,大连普兰店安波医院对外核酸检测服务采样点,大连市普兰店安波医院急诊北侧,周一至周日 07：30-10：00,13609867114
105,普兰店区,杨树房街道,大连普兰店杨树房医院对外核酸检测服务采样点,大连市普兰店区杨树房街道新星街3号,周一至周日 07：30-11：00,15542653536
106,普兰店区,大谭街道,大连普兰店铭东综合医院对外核酸检测服务采样点,大连市普兰店区大谭街道大邹社区小周屯71号,周一至周日 07：30-10：30,15040569759
107,普兰店区,同益街道,大连普兰店同益医院对外核酸检测服务采样点,大连市普兰店同益医院院内,周一至周日 07：30-09：30,13352225517
108,普兰店区,乐甲街道,乐甲卫生院对外核酸检测服务采样点,大连市普兰店区乐甲卫生院院内,周一至周五 08：00-9：30,13804099624
109,普兰店区,莲山街道,莲山中心卫生院对外核酸检测服务,大连市普兰店区莲山中心卫生院急诊东,周一至周五 08：30-11：00,13804954938
110,瓦房店市,铁东街道,瓦房店市中心医院愿检尽检核酸采样点,大连市瓦房店铁东街道前进街3号瓦房店市中心医院西出口南侧,周一至周日7:30-11:30 13:00-17:00 17:00-21:00（临时）,85603760
111,瓦房店市,铁东街道,瓦房店市中心医院应检尽检核酸采样点,大连市瓦房店铁东街道前进街3号瓦房店市中心医院发热门诊院内,24小时,85603901
112,瓦房店市,复州城镇,瓦房店第二医院核酸采样点,大连市瓦房店复州城镇新文化路46号,周一至周日上午7:30-11:30，下午13:00-16:30 ,85102428
113,瓦房店市,共济街道,瓦房店第三医院核酸采样点,大连市瓦房店共济街道北共济街3段36号,周一至周日7:30-16:30,15641120508
114,瓦房店市,岗店街道,瓦房店第四医院核酸采样点,大连市瓦房店岗店街道西郊委北庙17号,周一至周五8：00-11：00,15942846196
115,瓦房店市,共济街道,瓦房店六二六中医院核酸采样点,大连市瓦房店共济街道共济街九三路123-4号,周一至周日上午7：30-11：00，下午13：00-16：00 ,13478493560
116,瓦房店市,复州城镇,瓦房店康和医院核酸采样点,大连市瓦房店复州城新城街永丰村康和医院核酸采样点,周一至周日6:30-22:00,15040495309
117,瓦房店市,文兰街道,瓦房店瓦纺医院核酸采样点,大连市瓦房店文兰街道大宽街三段265号瓦纺医院北侧,周一至周日上午7:30-11:00，下午13:00-16:30,85619303
118,瓦房店市,永宁镇,瓦房店永安医院核酸采样点,大连市瓦房店永宁镇平家村永安医院对面核酸采样点,周一至周日7:30-16:00,85170022
119,庄河市,城关街道,庄河市中心医院发热门诊核酸采集处,大连市庄河市延安路南段615号,24小时,89869508
120,庄河市,城关街道,庄河市中医医院,大连市庄河市城关街道新华里一段75号,周一至周日 7:30-10:30 13:30-16:00,13478780161
121,庄河市,青堆镇,庄河市第二人民医院,大连市庄河市青堆镇青海路634号,周一至周日8：00到11：00，,13591394956
122,庄河市,大郑镇,大郑镇卫生院核酸,大连市庄河市大郑镇大郑村唐府路西,周一至周日 7:30-10:30,89133123
123,庄河市,蓉花山镇,蓉花山镇卫生院,大连市庄河市蓉花山镇蓉花村,周一至周日 7:30-10:30,13591809988 
124,庄河市,大营镇,大营镇中心卫生院,大连市庄河市大营镇大营村大营屯117号,周一至周日 7:30-10:30,15640908779
125,庄河市,王家镇,王家镇卫生院,大连市庄河市王家镇东滩村,周一至周日 7:30-10:30,18304071645
126,庄河市,桂云花乡,桂云花满族乡卫生院,大连市庄河市桂云花满族乡桂云花村,周一至周日 7:30-10:30,15940893156
127,庄河市,城山镇,城山镇卫生院,大连市庄河市城山镇城山村恒丰屯,周一至周日 7:30-10:30,13074119731
128,庄河市,兰店乡,兰店乡卫生院,大连市庄河市兰店乡磨石房村,周一至周日 7:30-10:30,15524775869
129,庄河市,荷花山镇,荷花山镇卫生院,大连市庄河市荷花山镇芙蓉村姜屯委104号,周一至周日 7:30-10:30,15840980523
130,庄河市,鞍子山乡,花院卫生院,大连市庄河市鞍子山乡花院卫生院,周一至周日 7:30-10:30,13019495618
131,庄河市,光明山镇,光明山高速口,大连市庄河市光明山高速口,周一至周日 7:30-10:30,17614262087
132,庄河市,黑岛镇,黑岛镇中心卫生院,大连市庄河市黑岛镇山南头村,周一至周日 7:30-10:30,13591706483
133,庄河市,步云山乡,步云山乡卫生院,大连市庄河市步云山乡谦泰村,周一至周日 7:30-10:30,13464925361
134,庄河市,徐岭镇,徐岭镇卫生院,大连市庄河市徐岭镇杨树房村,周一至周日 7:30-10:30,18604080855
135,庄河市,石城乡,石城乡中心卫生院,大连市庄河市石城乡海城路272号,周一至周日 7:30-10:30,15898182610
136,庄河市,长岭镇,长岭镇中心卫生院,大连市庄河市长岭镇双盛村河沿屯,周一至周日 7:30-10:30,13591141120
137,庄河市,栗子房镇,栗子房镇中心卫生院,大连市庄河市栗子房镇山林坨村,周一至周日 7:30-10:30,15840638920
138,庄河市,塔岭镇,塔岭镇卫生院,大连市庄河市塔岭镇隈子村,周一至周日 7:30-10:30,13079804087
139,庄河市,明阳街道,明阳地区中心卫生院,大连市庄河市明阳街道坎子村212号,周一至周日 7:30-10:30,13898664166
140,庄河市,吴炉镇,吴炉镇卫生院采样点,大连市庄河市吴炉镇吴炉村,周一至周日 7:30-10:30,13609852808
141,庄河市,太平岭乡,太平岭满族乡卫生院,大连市庄河市太平岭卫生院南文化馆,周一至周日 7:30-10:30,15904965679
142,庄河市,仙人洞镇,仙人洞镇卫生院,大连市庄河市仙人洞镇卫生院,周一至周日 7:30-10:30,13591761177
143,庄河市,昌盛街道,昌盛卫生院核酸,大连市庄河市昌盛街道高屯村,周一至周日 7:30-10:30,15509885987
144,庄河市,城关街道,城关街道卫生服务中心,大连市庄河市延安路457号,周一至周日 7:30-10:30,86062287
145,庄河市,新华街道,新华街道社区卫生服务中心,大连市庄河市一品桃源小区北门,周一至周日 7:30-10:30,13998686757
146,庄河市,兴达街道,兴达街道社区卫生服务中心,大连市庄河市兴达街道社区卫生服务中心,周一至周日 7:30-10:30,15940841577
147,长海县,大长山岛镇,长海县人民医院发热门诊,大连市长海县大长山岛镇四块石C园110号（原刑侦大楼）,周一至周日：8:00-10:30; 13:30-16:00                         ,13352233217
148,长海县,小长山岛镇,小长山中心卫生院流动采样点,大连市长海县小长山岛镇回龙村大连江屯,周一至周日14：30-15：00,13841122019
149,长海县,广鹿岛镇,广鹿中心卫生院,大连市长海县广鹿岛镇柳条村新村后屯南大线,周一至周日：13:30-15:30,89756026
150,长海县,獐子岛镇,獐子中心卫生院,大连市长海县长海县獐子中心卫生院,周一至周日：14：30-15：00,13942645599
151,长海县,海洋岛镇,海洋中心卫生院,大连市长海县海洋岛镇盐场村盐场屯,周一至周日：8：30-9:00,13500760682
152,金普新区,马桥子街道,中国医科大学附属盛京医院大连医院普通门诊核酸采样点,大连市经济技术开发区马桥子街道黄海西路146号,周一至周日 8：00-11：30、13：00-16：30,39259002-81010
153,金普新区,马桥子街道,中国医科大学附属盛京医院大连医院核酸发热门诊,大连市经济技术开发区马桥子街道黄海西路146号,周一至周日 16：30-8：00,39259002-81391
154,金普新区,马桥子街道,大连奥新全民口腔医院核酸采样点,大连市金普新区金马路172-1中国银行东侧,周一至周五 8:30-11:00、13:00-15:00,87617777
155,金普新区,马桥子街道,经济技术开发区黄海西路民院成教楼西一门（大连和合）,大连市经济技术开发区马桥子街道辽河西路18号,周一至周日8：00-18：00,87546006
156,金普新区,马桥子街道,精美达开发区麦凯乐采样点,大连市经济技开发区马桥子街道金马路198号大商新玛特麦凯乐门口,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
157,金普新区,马桥子街道,大连经济技术开发区金马路222号（大连和合）,大连市经济技术开发区马桥子街道金马路222号,周一至周日 8：00-18：00,87546006
158,金普新区,马桥子街道,大连金普新区辽宁街48-6（大连和合）,大连市经济技术开发区马桥子街道辽宁街48-6,周一至周日 8：00-18：00,87546006
159,金普新区,马桥子街道,开发区轻轨站采样点（大连谱尼医学）,大连市经济技术开发区马桥子街道五彩城轻轨站,周一至周日 8：30-12：00、13：00-20：00,87923651
160,金普新区,马桥子街道,精美达五彩城采样点,大连市金普新区亿锋现代城,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
161,金普新区,马桥子街道,马桥子街道社区卫生服务中心采样点,大连市经济技术开发区马桥子街道黄海西四路6-1,周一至周日 8：00-11：30、13：00-15：30,87651787
162,金普新区,马桥子街道,大连崇济医院有限公司核酸采样点,大连市保税区西环路盛和派蒂盟大厦1-1号,周一至周日 8：00-21：00,62775120
163,金普新区,马桥子街道,精美达正恒园采样点,大连市经济技术开发区马桥子街道正恒园金普国际大厦附近,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
164,金普新区,马桥子街道,大连谱尼医学公司门口采样点（大连谱尼医学）,大连市经济技术开发区马桥子街道东北三街29号企业配套园,周一至周日 8：30-17：00、,87923651
165,金普新区,马桥子街道,华润海中国采样点（大连谱尼医学）,大连市经济技术开发区马桥子街道华润海中国30栋-7号华润海中国,周一至周日 8：30-12：00、13：00-20：00,87923651
166,金普新区,马桥子街道,大连市开发区抚顺街50号（大连和合）,大连市经济技术开发区马桥子街道抚顺街50号,周一至周日 8：00-18：00,87546006
167,金普新区,马桥子街道,大连开发区正恒园25-1（大连和合）,大连市经济技术开发区马桥子街道正恒园25-1,周一至周日 8：00-18：00,87546006
168,金普新区,马桥子街道,大连广益德中医医院采样点（精美达）,大连市金普新区兴城路8号,周一至周日 8：00-11：00、13：00-15：00,39253055
169,金普新区,湾里街道,大连嘉宁精神病医院有限公司,大连市经济技术开发区湾里街道淮河中路9-1号,周一至周日 8：00—11：30、13：00—15：30,39204188
170,金普新区,湾里街道,金州区瑞港路采样点（大连和合）,大连市经济技术开发区湾里街道瑞港路8,周一至周日 8：00-18：00,87546006
171,金普新区,湾里街道,大连市金州开发区湾里街道澳东世纪广场附近（大连和合）,大连市经济技术开发区湾里街道澳东园10号,周一至周日 8：00-18：00,87546006
172,金普新区,湾里街道,精美达金湾商城采样点,大连市经济技术开发区湾里街道湾里东43号，金湾商城,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
173,金普新区,湾里街道,精美达高成山采样点,大连市经济技术开发区湾里街道高成山口腔门前,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
174,金普新区,湾里街道,精美达东湾采样点,大连市金普新区湾里街道东聚美东湾社区广场,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
175,金普新区,湾里街道,精美达港湾社区采样点,大连市金普新区湾里街道乾豪.欢乐颂小区,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
176,金普新区,湾里街道,精美达乾豪新界采样点,大连市金普新区湾里街道乾豪新界小区,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
177,金普新区,湾里街道,精美达时代城采样点,大连市金普新区湾里街道时代城,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
178,金普新区,海青岛街道,海青岛街道社区卫生服务中心,大连市经济技术开发区海青岛街道金马路510号,周一至周日 7：50-11：30、13：00-16：30（法定节假日另行通知）,87565766
179,金普新区,海青岛街道,大连保税区医院,大连市经济技术开发区海青岛街道黄海中路75号,周一至周日 8：00-11：30、13：00-16：00,15942489895
180,金普新区,海青岛街道,大连市开发区金源南里17号楼金源医院（大连和合）,大连市经济技术开发区海青岛街道金源南里17号,周一至周日 8：00-18：00,87546006
181,金普新区,海青岛街道,大连和合医学检验实验室有限公司,大连市经济技术开发区金源北路8号,周一至周日 8：30-12：00、13：00-21：00,87546006
182,金普新区,海清岛街道,大连金普新区富泰医院,大连市金州区海青岛街道港兴大街66号,周一至周日 8:30-11:00、13:00-15:00,15611110317
183,金普新区,海青岛街道,精美达海青岛采样点,大连市金普新区海青岛街道金马路444号洁雅口腔门前,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
184,金普新区,大孤山街道,大连经济技术开发区大孤山街道社区卫生服务中心,大连市经济技术开发区大孤山街道富港社区整体楼（小孤山中里41号楼),周一至周日 7：30—11：30、13：00—16：30,87512581
185,金普新区,大孤山街道,精美达鹏运家园采样点,大连市经济技术开发区大孤山街道振鹏中路 新隆嘉超市门口,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
186,金普新区,大孤山街道,大连经济技术开发区港兴大街363号（大连和合）,大连市经济技术开发区大孤山街道港兴大街363号,周一至周日 8：00-18：00,87546006
187,金普新区,大孤山街道,大连市金州区海滨路129号（大连和合）,大连市经济技术开发区大孤山街道海滨路129号,周一至周日 8：00-18：00,87546006
188,金普新区,大孤山街道,精美达孤山中里采样点,大连市金普新区大孤山街道孤山中里,周一至周日 8：00-12：00、13：00-18：30,87079777/86437777
189,金普新区,大孤山街道,大连金普新区仁爱老年病医院,大连市经济技术开发区振鹏中路19号,周一至周日 8:30-11:00、13:00-15:00,87546006
190,金普新区,光中街道,精美达和平路采样点,大连市金普新区和平路234号洁雅口腔门前,周一至周日8：00-12：00、13：00-18：30,87079777/86437777
191,金普新区,光中街道,大连市金州区第一人民医院网约核酸检测点,大连市金普新区光中街道斯大林路683号,周一至周日 8：00-11：00、13：00-16：30,39306525
192,金普新区,光中街道,大连市金州区第一人民医院发热门诊,大连市金普新区光中街道斯大林路683号,周一至周日16：30-8：00,39306525
