序号,区市县,街道,采样点名称,采样点地址,开放时间,联系电话
22,中山区,青泥洼桥街道,嘉和社区采样点,大连市中山区杏林街58号（鸭绿江大排档旁边）,周三、周六8：00-11：30、13：00-18：00,65919495
23,中山区,老虎滩街道,迎宾社区采样点,大连市中山区老虎滩街道山屏街100-104号小广场,周三、周六8：00-11：30、13：00-18：00,82884177
24,中山区,老虎滩街道,杏花社区采样点,大连市中山区老虎滩街道碧浪园8号楼,周三、周六8：00-11：30、13：00-18：00,82861675
25,中山区,老虎滩街道,平安社区采样点,大连市中山区老虎滩街道山屏花园36A,周三、周六8：00-11：30、13：00-18：00,82884360
26,中山区,老虎滩街道,虎山社区采样点,大连市中山区老虎滩街道虎滩路71号公建,周三、周六8：00-11：30、13：00-18：00,82862420
27,中山区,老虎滩街道,中兴社区采样点,大连市中山区老虎滩街道中南路328号,周三、周六8：00-11：30、13：00-18：00,82884190
28,中山区,葵英街道,独立社区采样点,大连市中山区葵英街道正大巷4号,周三、周六8：00-11：30、13：00-18：00,82804815
29,中山区,葵英街道,武汉社区采样点,大连市中山区葵英街道友好路252号院内,周三、周六8：00-11：30、13：00-18：00,82800418
30,中山区,葵英街道,青云社区采样点,大连市中山区葵英街道捷山街51号A,周三、周六8：00-11：30、13：00-18：00,82391911
31,中山区,葵英街道,武昌社区采样点,大连市中山区葵英街道武昌街406号,周三、周六8：00-11：30、13：00-18：00,82305195
32,中山区,葵英街道,林海社区采样点,大连市中山区葵英街道中青街197号,周三、周六8：00-11：30、13：00-18：00,39680061
33,中山区,葵英街道,葵英街道石葵社区采样点,大连市中山区葵英街道西山巷207号,周三、周六8：00-11：30、13：00-18：00,82221983
34,中山区,葵英街道,向阳社区采样点,大连市中山区葵英街道宪立巷60号向阳社区,周三、周六8：00-11：30、13：00-18：00,82305561
35,中山区,葵英街道,葵英社区采样点,大连市中山区葵英街道葵英九号,周三、周六8：00-11：30、13：00-18：00,82689189
36,中山区,葵英街道,清泉社区采样点,大连市中山区葵英街道解放路393号,周三、周六8：00-11：30、13：00-18：00,82686100
37,中山区,葵英街道,华昌社区采样点,大连市中山区葵英街道七七街南山里107号,周三、周六8：00-11：30、13：00-18：00,82307296
38,中山区,葵英街道,文化社区采样点,大连市中山区葵英街道捷凤街29号,周三、周六8：00-11：30、13：00-18：00,82383913
39,中山区,葵英街道,光华社区采样点,大连市中山区葵英街道岭前街17号光华社区,周三、周六8：00-11：30、13：00-18：00,82383159
40,中山区,葵英街道,智仁社区采样点,大连市中山区葵英街道智仁街42号,周三、周六8：00-11：30、13：00-18：00,82661206
41,中山区,葵英街道,绿山社区采样点,大连市中山区葵英街道绿山巷,周三、周六8：00-11：30、13：00-18：00,82303758
42,中山区,海军广场街道,育才社区采样点,大连市中山区良运四季汇步行街华臣影院门前采样房（鲁迅路90号）,周三、周六8：00-11：30、13：00-18：00,82706192
43,中山区,海军广场街道,港湾社区采样点,大连市中山区港湾社区居委会门前（长江东路89E东侧公建）,周三、周六8：00-11：30、13：00-18：00,82713474
44,中山区,海军广场街道,春海社区采样点,大连市中山区荣民街与育才街交叉口西北侧人行步道采样房（育才街132号）,周三、周六8：00-11：30、13：00-18：00,82707582
45,中山区,海军广场街道,海军广场社区采样点,大连市中山区三八小学操场西侧楼院内（明阳街6号）,周三、周六8：00-11：30、13：00-18：00,82701665
46,中山区,海军广场街道,春和社区采样点,大连市中山区春和社区居委会门前（荣民街47号）,周三、周六8：00-11：30、13：00-18：00,82727176
47,中山区,海军广场街道,春德社区采样点,大连市中山区春德社区居委会北侧（港院街30-6号）,周三、周六8：00-11：30、13：00-18：00,82704431
48,中山区,海军广场街道,春山社区采样点,大连市中山区海悦一楼公建东侧采样房（鲁迅路201号）,周三、周六8：00-11：30、13：00-18：00,82715461
49,中山区,海军广场街道,春景社区采样点,大连市中山区东港印象C区北侧停车场惠民超市前（春海街75号）,周三、周六8：00-11：30、13：00-18：00,82729900
50,中山区,海军广场街道,华乐社区采样点,大连市中山区华乐广场东侧采样房,周三、周六8：00-11：30、13：00-18：00,82780323
51,中山区,海军广场街道,海景社区采样点,大连市中山区华乐广场西侧采样房,周三、周六8：00-11：30、13：00-18：00,82780323
52,中山区,人民路街道,七一民主愿检尽检核酸检测点,大连市中山区长江路35号,周三、周六8：00-11：30、13：00-18：00,82828128
53,中山区,人民路街道,港兴愿检尽检核酸检测点,大连市中山区凯丹广场北门,周三、周六8：00-11：30、13：00-18：00,82951440
54,中山区,人民路街道,港盛愿检尽检核酸检测点,大连市中山区水城二期中国进出口银行东侧公建（港浦路）,周三、周六8：00-11：30、13：00-18：00,82519650
55,中山区,人民路街道,东日愿检尽检核酸检测点,大连市中山区东日街南,周三、周六8：00-11：30、13：00-18：00,82829670
56,中山区,人民路街道,兴和愿检尽检核酸检测点,大连市中山区兴盛里9号,周三、周六8：00-11：30、13：00-18：00,82828871
57,中山区,人民路街道,福寿愿检尽检核酸检测点,大连市中山区新世界39号,周三、周六8：00-11：30、13：00-18：00,81980870
58,中山区,人民路街道,修竹愿检尽检核酸检测点,大连市中山区悦泰街里,周三、周六8：00-11：30、13：00-18：00,82641916
59,中山区,人民路街道,海港愿检尽检核酸检测点,大连市中山区海港社区门前,周三、周六8：00-11：30、13：00-18：00,82952273
60,西岗区,八一路街道,傅家庄社区院内,大连市西岗区华航街8号,周三、周六 8：00-11：30、13：00-18：00,82401892
61,西岗区,八一路街道,原社区医院旁,大连市西岗区八一路91号,周三、周六 8：00-11：30、13：00-18：00,82664863
62,西岗区,八一路街道,新日街13号社区活动室,大连市西岗区新日街13号,周三、周六 8：00-11：30、13：00-18：00,82487910
63,西岗区,八一路街道,食安广场,大连市西岗区林茂街5号楼前,周三、周六 8：00-11：30、13：00-18：00,82487771
64,西岗区,八一路街道,荣信小广场,大连市西岗区荣信巷2、4、6号楼楼后,周三、周六 8：00-11：30、13：00-18：00,82383174
65,西岗区,八一路街道,新水巷小广场,大连市西岗区新水巷16-17号楼前,周三、周六 8：00-11：30、13：00-18：00,82483996
66,西岗区,八一路街道,隆泉华庭一号岗,大连市西岗区八一路117号,周三、周六 8：00-11：30、13：00-18：00,82492264
67,西岗区,八一路街道,盘山街16号广场,大连市西岗区盘山街16号,周三、周六 8：00-11：30、13：00-18：00,82388349
68,西岗区,人民广场街道,北岗社区采样点,大连市西岗区民开市民大舞台,周三、周六 8：00-11：30、13：00-18：00,66306058、66306059
69,西岗区,人民广场街道,人民广场街道长江社区采样点,大连市西岗区鞍山路38B(朗朗富来慕口腔西侧),周三、周六 8：00-11：30、13：00-18：00,66306012
70,西岗区,人民广场街道,更生社区采样点,大连市西岗区沈阳路2-3号楼前空地,周三、周六 8：00-11：30、13：00-18：00,66306051
71,西岗区,人民广场街道,庆贺社区采样点,大连市西岗区心族大酒店门口,周三、周六 8：00-11：30、13：00-18：00,66306002
72,西岗区,人民广场街道,九三社区采样点,大连市西岗区福德街26-30号育乐园,周三、周六 8：00-11：30、13：00-18：00,66306039
73,西岗区,人民广场街道,北京街社区采样点,大连市西岗区丰满街25号门前（民族宾馆北侧）,周三、周六 8：00-11：30、13：00-18：00,66306036
74,西岗区,人民广场街道,人民广场街道黄河社区采样点,大连市西岗区银寰花园民权街66号楼前空地,周三、周六 8：00-11：30、13：00-18：00,66306028
75,西岗区,人民广场街道,长春路社区采样点,大连市西岗区印象城,周三、周六 8：00-11：30、13：00-18：00,66306015
76,西岗区,人民广场街道,五四社区采样点,大连市西岗区民众街71号楼前大平台,周三、周六 8：00-11：30、13：00-18：00,66306010
77,西岗区,人民广场街道,人民广场街道新华社区采样点,大连市西岗区文熙肿瘤医院停车场,周三、周六 8：00-11：30、13：00-18：00,66306031
78,西岗区,人民广场街道,人民广场街道胜利社区采样点,大连市西岗区兴民街14号小广场,周三、周六 8：00-11：30、13：00-18：00,66306056
79,西岗区,人民广场街道,石葵社区采样点,大连市西岗区长春路314号（石道街卫生院后身）,周三、周六 8：00-11：30、13：00-18：00,66306008
80,西岗区,人民广场街道,桥东社区采样点,大连市西岗区桥东巷8-14小广场,周三、周六 8：00-11：30、13：00-18：00,66306013
81,西岗区,白云街道,云峰社区采样点,大连市西岗区星海融汇院内,周三、周六 8：00-11：30、13：00-18：00,84357349
82,西岗区,白云街道,石道街社区采样点,大连市西岗区长春路283号,周三、周六 8：00-11：30、13：00-18：00,82473309
83,西岗区,白云街道,莲花社区采样点,大连市西岗区绕山路53号楼旁,周三、周六 8：00-11：30、13：00-18：00,84331392
84,西岗区,白云街道,天池社区采样点,大连市西岗区绕山路24-30号清风苑,周三、周六 8：00-11：30、13：00-18：00,84313798
85,西岗区,白云街道 ,拥警社区采样点,大连市西岗区五四路141号,周三、周六 8：00-11：30、13：00-18：00,84357758
86,西岗区,白云街道,民运社区采样点,大连市西岗区高尔基路142号,周三、周六 8：00-11：30、13：00-18：00,84314452
87,西岗区,白云街道,白云街道白迎春社区采样点,大连市西岗区南石巷23号,周三、周六 8：00-11：30、13：00-18：00,82496935
88,西岗区,白云街道,康平社区采样点,大连市西岗区康平街20-1号二楼,周三、周六 8：00-11：30、13：00-18：00,83623762
89,西岗区,日新街道,红岩社区采样点,大连市西岗区松花街32号院内空地,周三、周六 8：00-11：30、13：00-18：00,83657835
90,西岗区,日新街道,广和社区采样点,大连市西岗区茂田巷40号,周三、周六 8：00-11：30、13：00-18：00,83657836
91,西岗区,日新街道,东关社区采样点,大连市西岗区良久国际楼下,周三、周六 8：00-11：30、13：00-18：00,83657837
92,西岗区,日新街道,平等社区采样点,大连市西岗区平等街43号院,周三、周六 8：00-11：30、13：00-18：00,83657838
93,西岗区,日新街道,英山社区采样点,大连市西岗区繁荣街21-25号楼南侧广场,周三、周六 8：00-11：30、13：00-18：00,83657840
94,西岗区,日新街道,更新社区采样点,大连市西岗区更新街129-131号楼院,周三、周六 8：00-11：30、13：00-18：00,83657839
95,西岗区,日新街道,民乐社区采样点,大连市西岗区北海街23号民乐社区小广场,周三、周六 8：00-11：30、13：00-18：00,82542093
96,西岗区,日新街道,团结社区采样点,大连市西岗区俄罗斯风情一条街小广场,周三、周六 8：00-11：30、13：00-18：00,82548738
97,西岗区,日新街道,建设社区采样点,大连市西岗区建设街72号大商公寓院内,周三、周六 8：00-11：30、13：00-18：00,83699054
98,西岗区,日新街道,双兴社区采样点,大连市西岗区站北新居D、E区小广场,周三、周六 8：00-11：30、13：00-18：00,39027571
99,西岗区,日新街道,兴业社区采样点,大连市西岗区通海园20号-37兴业社区工作站门前,周三、周六 8：00-11：30、13：00-18：00,83010170
100,西岗区,日新街道,万全社区采样点,大连市西岗区双兴街69号,周三、周六 8：00-11：30、13：00-18：00,83697754
101,西岗区,香炉礁街道,香荣社区采样点,大连市西岗区香松街与香新街交汇处,周三、周六 8：00-11：30、13：00-18：00,39036581
102,西岗区,香炉礁街道,香秀社区采样点,大连市西岗区香秀社区门前,周三、周六 8：00-11：30、13：00-18：00,39036582
103,西岗区,香炉礁街道,香川社区采样点,大连市西岗区香川社区传承亭,周三、周六 8：00-11：30、13：00-18：00,39036570
104,西岗区,香炉礁街道,虹桥社区采样点,大连市西岗区工三街13号,周三、周六 8：00-11：30、13：00-18：00,39036585
105,西岗区,香炉礁街道,港湾社区采样点,大连市西岗区百年港湾4号楼下公建,周三、周六 8：00-11：30、13：00-18：00,39036583
106,西岗区,香炉礁街道,工人村社区采样点,大连市西岗区工一街53-1号,周三、周六 8：00-11：30、13：00-18：00,39036586
107,西岗区,香炉礁街道,香炉礁街道金海社区采样点,大连市西岗区金海西园小平房,周三、周六 8：00-11：30、13：00-18：00,39036588
108,沙河口区,南沙街道,海建社区采样点,大连市沙河口区五一路知心园47-57公建海建社区党群服务中心,周三、周六8：00-11：30、13：00-18：00,62278804
109,沙河口区,南沙街道,兰亭社区采样点,大连市沙河口区兰亭园1号（社区党群中心）,周三、周六8：00-11：30、13：00-18：00,62278806
110,沙河口区,南沙街道,台扩社区采样点,大连市沙河口区台山街114号（社区党群服务中心）,周三、周六8：00-11：30、13：00-18：00,62278810
111,沙河口区,南沙街道,水芙山竹社区采样点,大连市沙河口区台四小区活动室,周三、周六8：00-11：30、13：00-18：00,62278819
112,沙河口区,南沙街道,园中园社区采样点,大连市沙河口区园中园新希望璞石墅采样点,周三、周六8：00-11：30、13：00-18：00,62278824
113,沙河口区,南沙街道,汉阳社区采样点位,大连市沙河口区元初食品对面,周三、周六8：00-11：30、13：00-18：00,62278827
114,沙河口区,南沙街道,幸福e家社区采样点,大连市沙河口区幸福e家社区门前,周三、周六8：00-11：30、13：00-18：00,62278833
115,沙河口区,南沙街道,后山社区采样点,大连市沙河口区南口街24号后山社区党群中心,周三、周六8：00-11：30、13：00-18：00,62278843
116,沙河口区,南沙街道,桃山社区采样点,大连市沙河口区桃山街5公建7-5（社区党群中心）,周三、周六8：00-11：30、13：00-18：00,62278847
117,沙河口区,南沙街道,星海人家采样点,大连市沙河口区南沙健康教育基地,周三、周六8：00-11：30、13：00-18：00,62278850
118,沙河口区,南沙街道,南沙社区采样点,大连市沙河口区南口街24号后山社区党群中心,周三、周六8：00-11：30、13：00-18：00,62278830
119,沙河口区,南沙街道,东方社区采样点,大连市沙河口区东方圣荷西项目物业服务中心门前广场,周三、周六8：00-11：30、13：00-18：00,62278852
120,沙河口区,黑石礁街道,凌水社区采样点,大连市沙河口区黄浦路417号翰林观海小公寓大厅,周三、周六8：00-11：30、13：00-18：00,84671951
121,沙河口区,黑石礁街道,红星村社区采样点,大连市沙河口区辰熙大厦停车场,周三、周六8：00-11：30、13：00-18：00,84673925
122,沙河口区,黑石礁街道,由家社区采样点,大连市沙河口区杨树北街11A社区门前,周三、周六8：00-11：30、13：00-18：00,84708229
123,沙河口区,黑石礁街道,振华社区采样点,大连市沙河口区文静街31-5公建,周三、周六8：00-11：30、13：00-18：00,84708232
124,沙河口区,黑石礁街道,景山社区采样点,大连市沙河口区景云巷21号楼前,周三、周六8：00-11：30、13：00-18：00,84673227
125,沙河口区,黑石礁街道,西南路社区采样点,大连市沙河口区西南路社区门前小广场,周三、周六8：00-11：30、13：00-18：00,84571822
126,沙河口区,黑石礁街道,书香园社区采样点,大连市沙河口区书香园10号会所,周三、周六8：00-11：30、13：00-18：00,84786407
127,沙河口区,黑石礁街道,尖山社区采样点,大连市沙河口区尖山街5A号尖山社区门前,周三、周六8：00-11：30、13：00-18：00,84581422
128,沙河口区,黑石礁街道,共建社区采样点,大连市沙河口区杨树东街14号楼东侧,周三、周六8：00-11：30、13：00-18：00,84767987
129,沙河口区,马栏街道, 满庭芳社区采样点,大连市沙河口区观山满庭芳小区南门,周三、周六8：00-11：30、13：00-18：00,39820500
130,沙河口区,马栏街道,兰园社区采样点,大连市沙河口区兰园街38号,周三、周六8：00-11：30、13：00-18：00,84226579
131,沙河口区,马栏街道, 富民社区采样点,大连市沙河口区天宝街34号富民社区门前,周三、周六8：00-11：30、13：00-18：00,84230556
132,沙河口区,马栏街道, 川甸社区采样点,大连市沙河口区富民北街万棵树小区门口,周三、周六8：00-11：30、13：00-18：00,84226683
133,沙河口区,马栏街道, 文苑社区采样点,大连市沙河口区兰溪文苑小区广场,周三、周六8：00-11：30、13：00-18：00,84515470
134,沙河口区,马栏街道,恒苑社区采样点,大连市沙河口区西山街172-3号(恒苑社区门前),周三、周六8：00-11：30、13：00-18：00,84501411
135,沙河口区,马栏街道, 广场社区采样点,大连市沙河口区马栏南街马栏锅贴北侧广场社区门前,周三、周六8：00-11：30、13：00-18：00,84205980
136,沙河口区,马栏街道,红凌社区采样点,大连市沙河口区红凌路叠锦园8号楼对面红凌社区门前,周三、周六8：00-11：30、13：00-18：00,84298489
137,沙河口区,马栏街道, 幸福社区采样点,大连市沙河口区黄河路1087号,周三、周六8：00-11：30、13：00-18：00,84225956
138,沙河口区,马栏街道,西苑社区采样点,大连市沙河口区鹏程街31号楼5单元101,周三、周六8：00-11：30、13：00-18：00,84212470
139,沙河口区,马栏街道,大庆社区采样点,大连市沙河口区大庆社区活动室新建东街24A,周三、周六8：00-11：30、13：00-18：00,84500949
140,沙河口区,马栏街道, 宏发社区采样点,大连市沙河口区西林街23号,周三、周六8：00-11：30、13：00-18：00,84502339
141,沙河口区,马栏街道,兰青社区采样点,大连市沙河口区泽汇街5号（麦花食品厂院内）,周三、周六8：00-11：30、13：00-18：00,84516160
142,沙河口区,马栏街道,西山社区采样点,大连市沙河口区黄河路819号楼院（西山社区办公室西侧）,周三、周六8：00-11：30、13：00-18：00,84501696
143,沙河口区,李家街道,锦霞社区采样点,大连市沙河口区锦霞南园7号楼,周三、周六8：00-11：30、13：00-18：00,62629070
144,沙河口区,李家街道,锦云社区采样点,大连市沙河口区锦泉南园21号楼,周三、周六8：00-11：30、13：00-18：00,62629064
145,沙河口区,李家街道,锦绣社区采样点,大连市沙河口区沙河口区锦绣路62L锦绣社区,周三、周六8：00-11：30、13：00-18：00,62629082
146,沙河口区,李家街道,福园社区采样点,大连市沙河口区福园社区门前,周三、周六8：00-11：30、13：00-18：00,62629056
147,沙河口区,李家街道,绿苑社区采样点,大连市沙河口区恒顺园6L号,周三、周六8：00-11：30、13：00-18：00,62629102
148,沙河口区,李家街道,锦苑社区采样点,大连市沙河口区新生路万客园60号锦苑社区后门,周三、周六8：00-11：30、13：00-18：00,62629060
149,沙河口区,李家街道,绿香社区采样点,大连市沙河口区展望街26号楼,周三、周六8：00-11：30、13：00-18：00,62629092
150,沙河口区,李家街道,锦虹社区采样点,大连市沙河口区锦江西园11-1,周三、周六8：00-11：30、13：00-18：00,62629067
151,沙河口区,李家街道,绿波社区采样点,大连市沙河口区绿波路72号绿波社区活动室,周三、周六8：00-11：30、13：00-18：00,62629085
152,沙河口区,李家街道,文园社区采样点,大连市沙河口区柳一街5A,周三、周六8：00-11：30、13：00-18：00,62629051
153,沙河口区,李家街道,绿景社区采样点,大连市沙河口区绿清园1F-2,周三、周六8：00-11：30、13：00-18：00,62629105
154,沙河口区,李家街道,锦华社区采样点,大连市沙河口区锦华中园86号楼,周三、周六8：00-11：30、13：00-18：00,62629073
155,沙河口区,星海湾街道,星南社区采样点,大连市沙河口区沙河口区星海一街17A东侧小广场,周三、周六8：00-11：30、13：00-18：00,84369551
156,沙河口区,星海湾街道,星北社区采样点,大连市沙河口区沙河口区中山路429号,周三、周六8：00-11：30、13：00-18：00,84369574
157,沙河口区,星海湾街道,化物所社区采样点,大连市沙河口区化物所社区西侧小广场（中山路457-44号）,周三、周六8：00-11：30、13：00-18：00,84751409
158,沙河口区,星海湾街道,新希望社区采样点,大连市沙河口区新希望社区广场中山路534号,周三、周六8：00-11：30、13：00-18：00,84369570
159,沙河口区,星海湾街道,星海广场社区采样点,大连市沙河口区星海广场B3区33-3,周三、周六8：00-11：30、13：00-18：00,84804135
160,沙河口区,星海湾街道,海州社区采样点,大连市沙河口区沙河口区涟宁南园3-4,周三、周六8：00-11：30、13：00-18：00,84777913
161,沙河口区,星海湾街道,龙江路社区采样点,大连市沙河口区西南路194号,周三、周六8：00-11：30、13：00-18：00,84570463
162,沙河口区,星海湾街道,连山社区海嘉司采样点,大连市沙河口区胶州街19号海嘉司旁,周三、周六8：00-11：30、13：00-18：00,84721496
163,沙河口区,星海湾街道,星海公园社区采样点,大连市沙河口区沙河口区海源街30号旁,周三、周六8：00-11：30、13：00-18：00,84690813
164,沙河口区,星海湾街道,星河社区采样点,大连市沙河口区 星河一街和高尔基路东南交汇处150米,周三、周六8：00-11：30、13：00-18：00,82537283
165,沙河口区,星海湾街道,解放社区采样点,大连市沙河口区太原街35号，和泰万家2号楼公建,周三、周六8：00-11：30、13：00-18：00,84307365
166,沙河口区,星海湾街道,玉华社区采样点,大连市沙河口区太原街5号共建旁 （昱圣苑酒店道对面独栋公建）,周三、周六8：00-11：30、13：00-18：00,84322117
167,沙河口区,星海湾街道,集贤社区采样点,大连市沙河口区星海朗庭公建,周三、周六8：00-11：30、13：00-18：00,84302912
168,沙河口区,星海湾街道,新华社区中心采样点,大连市沙河口区集贤街4号,周三、周六8：00-11：30、13：00-18：00,84304926
169,沙河口区,星海湾街道,中山路社区采样点,大连市沙河口区集贤街18-5,周三、周六8：00-11：30、13：00-18：00,84343241
170,沙河口区,星海湾街道,莲花山社区采样点,大连市沙河口区太原街86号-4社区门前广场,周三、周六8：00-11：30、13：00-18：00,84320772
171,沙河口区,星海湾街道,碧海社区采样点,大连市沙河口区碧海社区星海融汇C4公建,周三、周六8：00-11：30、13：00-18：00,84352297
172,沙河口区,西安路街道,民兴花园社区采样点,大连市沙河口区民权北七街28号后院,周三、周六8：00-11：30、13：00-18：00,66177975
173,沙河口区,西安路街道,兴新社区采样点,大连市沙河口区大连市沙河口区兴工北七街17A东侧小广场,周三、周六8：00-11：30、13：00-18：00,66177996
174,沙河口区,西安路街道,长江社区采样点,大连市沙河口区沙河口区连胜街8号,周三、周六8：00-11：30、13：00-18：00,66177970
175,沙河口区,西安路街道,兴社社区采样点,大连市沙河口区兴工北二街交中长东四街铁皮房,周三、周六8：00-11：30、13：00-18：00,66177982
176,沙河口区,西安路街道,天兴社区采样点,大连市沙河口区同泰街21号,周三、周六8：00-11：30、13：00-18：00,66177960
177,沙河口区,西安路街道,黄河社区采样点,大连市沙河口区工华街3-2,周三、周六8：00-11：30、13：00-18：00,66177973
178,沙河口区,西安路街道,永顺社区采样点,大连市沙河口区民权街303号楼下核酸亭,周三、周六8：00-11：30、13：00-18：00,66177965
179,沙河口区,西安路街道,民权社区采样点,大连市沙河口区振工街6号，沙区文化馆北门,周三、周六8：00-11：30、13：00-18：00,66177979
180,沙河口区,西安路街道,如意社区采样点,大连市沙河口区华业玫瑰东方二期东一门,周三、周六8：00-11：30、13：00-18：00,66177993
181,沙河口区,西安路街道,永联社区采样点,大连市沙河口区永平街107号,周三、周六8：00-11：30、13：00-18：00,66177962
182,沙河口区,西安路街道,泉涌社区采样点,大连市沙河口区光华街65号门前小广场,周三、周六8：00-11：30、13：00-18：00,66177991
183,沙河口区,西安路街道,永吉社区采样点,大连市沙河口区光华街36号,周三、周六8：00-11：30、13：00-18：00,66177989
184,沙河口区,西安路街道,兴盛社区采样点,大连市沙河口区尚品天城7号楼公建,周三、周六8：00-11：30、13：00-18：00,66177985
185,沙河口区,西安路街道,至诚社区采样点,大连市沙河口区黄河路620号（现代服务业大厦东门0,周三、周六8：00-11：30、13：00-18：00,66177969
186,沙河口区,春柳街道,春柳社区采样点,大连市沙河口区春柳街671号春柳小学前侧,周三、周六8：00-11：30、13：00-18：00,62629786
187,沙河口区,春柳街道,刘家桥社区采样点,大连市沙河口区春芳街47号1-3党群服务中心,周三、周六8：00-11：30、13：00-18：00,62629776
188,沙河口区,春柳街道,泰安社区采样点,大连市沙河口区春柳公园公建西南路901号,周三、周六8：00-11：30、13：00-18：00,62629789
189,沙河口区,春柳街道,华顺社区采样点,大连市沙河口区华顺街46-50号楼后,周三、周六8：00-11：30、13：00-18：00,62629780
190,沙河口区,春柳街道,敦煌社区采样点,大连市沙河口区沙龙街41号长发粮油旁,周三、周六8：00-11：30、13：00-18：00,62629785
191,沙河口区,春柳街道,沙园社区采样点,大连市沙河口区沙卫街30号楼后锅炉房,周三、周六8：00-11：30、13：00-18：00,62629790
192,沙河口区,春柳街道,新型社区采样点,大连市沙河口区新友公园西北门（敦煌西街653-2号附近）,周三、周六8：00-11：30、13：00-18：00,62629782
193,沙河口区,春柳街道,沙跃社区采样点,大连市沙河口区沙跃街9号广场,周三、周六8：00-11：30、13：00-18：00,62629787
194,沙河口区,春柳街道,沙龙社区采样点,大连市沙河口区沙能街120-126（楼后院）,周三、周六8：00-11：30、13：00-18：00,62629779
195,沙河口区,春柳街道,香华社区采样点,大连市沙河口区香华街26-1号,周三、周六8：00-11：30、13：00-18：00,62629791
196,沙河口区,春柳街道,香沙社区采样点,大连市沙河口区丝绸路68号楼院,周三、周六8：00-11：30、13：00-18：00,62629781
197,沙河口区,春柳街道,丝绸路社区采样点,大连市沙河口区敦煌南街240号,周三、周六8：00-11：00、13：30-18：00,62629792
198,甘井子区,红旗街道,前程消防队操场,大连市甘井子区前程街消防队操场采样房,周三、周六8：00-11：00、13：30-18：00,84246252
199,甘井子区,红旗街道,兰兴党建广场,大连市甘井子区兰兴巷党建广场采样房,周三、周六8：00-11：00、13：30-18：00,84230515
200,甘井子区,红旗街道,水务集团后身,大连市甘井子区前程街57号楼后身,周三、周六8：00-11：00、13：30-18：00,84214791
201,甘井子区,红旗街道,湾家花园,大连市甘井子区红旗中路178号楼旁,周三、周六8：00-11：00、13：30-18：00,84224457
202,甘井子区,红旗街道,吉祥街53号小广场,大连市甘井子区吉祥街53号楼旁广场,周三、周六8：00-11：00、13：30-18：00,84247849
203,甘井子区,红旗街道,鸿盛社区门前,大连市甘井子区红南东街14号,周三、周六8：00-11：00、13：30-18：00,84247749
204,甘井子区,红旗街道,祥溢园物业,大连市甘井子区祥溢园16号楼,周三、周六8：00-11：00、13：30-18：00,84247062
